	エヌイーエル	0
#しぃゲー	シィゲー	1
#ちくいくルーム	チクイクルーム	1
#なつ	ナツ	0
#にじさんじのレバガチャ	ニジサンジノレバガチャ	1
#にじさんじ花鳥風月戦	ニジサンジカチョウフウゲツセン	1
#ねむこ	ネムコ	1
#のんせぇを許すな	ノンセェヲユルスナ	1
#はじめてのツイート	ハジメテノツイート	0
#びっくり道路選手権	ハッシュタグビックリドウロセンシュケン	0
#みんなに会いにいくよ	ミンナニアイニイクヨ	0
#やむんご	ハッシュタグヤムンゴ	1
#ゆちゃ的	ユチャテキ	1
#ゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりあいちけん	ユッリッユッララララユルユリユッリッユッララララユルユリユッリッユッララララユルユリアイチケン	1
#ゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりだいじけん	ユッリッユッララララユルユリユッリッユッララララユルユリユッリッユッララララユルユリダイジケン	0
#らきすて	ラキステ	1
#りこぴの窓口	リコピノマドグチ	1
#アイドルを取り戻せ	アイドルヲトリモドセ	0
#インターネット老人会	インターネットロウジンカイ	1
#ウルトラマンZ全50話	ハッシュタグウルトラマンゼットゼンゴジュウワ	0
#キボウレインボウ#	キボウレインボウ	0
#コンパス	コンパス	1
#コンパス 戦闘摂理解析システム	コンパスセントウセツリカイセキシステム	0
#コンパス【戦闘摂理解析システム】	コンパスセントウセツリカイセキシステム	1
#コンパスフェス	コンパスフェス	0
#シチューうどん銭湯は営業します	シチューウドンセントウハエイギョウシマス	1
#スガは大仏を建立しろ	スガハダイブツヲコンリュウシロ	0
#スニリプ	スニリプ	0
#タクガタリ	タクガタリ	1
#ニコニコddr杯	ニコニコディーディーアールハイ	1
#ニコニコ超会議2024	ニコニコチョウカイギニセンニジュウヨン	1
#ニコ生	ニコナマ	1
#ニャオハ立つな	タツポケモンタタナイポケモンソンナノニャオハノカッテ	0
#ニャオハ立て	タツポケモンタタナイポケモンソンナノニャオハノカッテ	1
#パクツイ	ハッシュタグノパクツイ	0
#ヒーローが子供達を元気にする	ヒーローガコドモタチヲゲンキニスル	1
#フィギュマス	フィギュマス	0
#マジカルミライ福岡で開催してくれ頼むから	マジカルミライフクオカデカイサイシテクレタノムカラ	0
#マッチャイ帰さない	マッチャイカエサナイ	0
#マッチャイ帰さない2016	マッチャイカエサナイニセンジュウロク	1
#マホイップチャレンジ	ハッシュマホイップチャレンジ	0
#マホイップチャレンジから逃げるな	ハッシュマホイップチャレンジカラニゲルナ	1
#ミリオン春の投稿祭	ミリオンハルノトウコウマツリ	0
#ユキちゃん	ユキチャン	1
#ユニット名募集中	ユニットメイボシュウチュウ	1
#ユニ募	ユニットメイボシュウチュウ	1
#ラスボス適性	ラスボステキセイ	1
#レイナサマのイタズラ	ハッシュタグレイナサマノイタズラ	0
#ヴイアラ	ハッシュタグヴイアラ	0
#任天堂を許すな	ニンテンドウヲユルスナ	0
#先生死ぬかも	センセイシヌカモ	0
#大家帝国	ハッシュタグオオカテイコク	0
#家族募集します	ハッシュタグカゾクボシュウシマス	0
#強弱UTA合戦	キョウジャクウタガッセン	0
#強弱UTA合戦2021	キョウジャクウタガッセンニセンニジュウイチ	1
#強弱UTA合戦2021_弱	キョウジャクウタガッセンニセンニジュウイチジャク	1
#強弱UTA合戦2021_強	キョウジャクウタガッセンニセンニジュウイチキョウ	1
#強弱UTA合戦2022	キョウジャクウタガッセンニセンニジュウニ	1
#強弱UTA合戦2022_弱	キョウジャクウタガッセンニセンニジュウニジャク	1
#強弱UTA合戦2022_強	キョウジャクウタガッセンニセンニジュウニキョウ	1
#強弱UTA合戦2023	キョウジャクウタガッセンニセンニジュウサン	1
#強弱UTA合戦2023_弱	キョウジャクウタガッセンニセンニジュウサンジャク	1
#強弱UTA合戦2023_強	キョウジャクウタガッセンニセンニジュウサンキョウ	1
#強弱UTA合戦_弱	キョウジャクウタガッセンジャク	1
#強弱UTA合戦_強	キョウジャクウタガッセンキョウ	1
#新年マッチャイ帰さない2017	シンネンマッチャイカエサナイニセンジュウナナ	1
#旅する代表	タビスルダイヒョウ	1
#暑いので涼しげな画像を貼る	ハッシュタグアツイノデスズシゲナガゾウハル	0
#本田とじゃんけん	ホンダトジャンケン	0
#本田とじゃんけん2020	ホンダトジャンケンニセンニジュウ	1
#本田とカードバトル	ホンダトカードバトル	0
#本田とコイントス	ホンダトコイントス	0
#相模原ミリオンコラボ	サガミハラミリオンコラボ	1
#神奈川に住んでるエルフ	カナガワニスンデルエルフ	0
#私かわいい	ワタシカワイイ	1
#空帕斯	コンパス	1
#築田式 #田村式	チクタシキタムラシキ	0
#緋想天@ニコニコ	ヒソウテンアットニコニコ	0
#繚乱変態部屋	ヒャッカリョウランヘンタイベヤ	1
#艦こけ	カンコケ	1
#藤崎空でググってみよー	フジサキソラデググッテミヨー	1
#資産運用	シサンウンヨウ	1
#超みんなのおすすめ曲リレー2020	ハッシュタグチョウミンナノオススメキョクリレーニセンニジュウ	1
#超飯テロ	ハッシュタグチョウメシテロ	1
#遅ればせながら	オクレバセナガラ	0
#魔女集会で会いましょう	ハッシュマジョシュウカイデアイマショウ	1
$=ふーた=$	フウタ	0
%ソミタナ	ソミタナ	0
&	アンパサンド	0
& Knuckles	アンドナックルズ	1
&6allein	アンドシクスアレイン	0
&Knuckles	アンドナックルズ	0
&P	アンドピー	0
&gt;&gt;301	サンビャクイチヘノレス	1
&lt;&gt;	ヤマカッコ	0
&lt;哲学&gt;	テツガク	1
&quot;hello!!&quot;	ハロー	1
'&'-空の向こうで咲きますように-	アンドソラノムコウデサキマスヨウニ	1
'20年	ニジュウネン	1
'21年	ニジュウイチネン	1
'22年	ニジュウニネン	1
'23年	ニジュウサンネン	1
'24年	ニジュウヨネン	1
'25年	ニジュウゴネン	1
'26年	ニジュウロクネン	1
'27年	ニジュウナナネン	1
'28年	ニジュウハチネン	1
'29年	ニジュウキュウネン	1
'30年	サンジュウネン	1
'31年	サンジュウイチネン	1
'32年	サンジュウニネン	1
'33年	サンジュウサンネン	1
'34年	サンジュウヨネン	1
'35年	サンジュウゴネン	1
'36年	サンジュウロクネン	1
'37年	サンジュウナナネン	1
'38年	サンジュウハチネン	1
'96年	キュウジュウロクネン	1
'97年	キュウジュウシチネン	1
'98年	キュウジュウハチネン	1
'99年	キュウジュウキュウネン	1
'karaiː	カライー	1
'ngirrthlu	ニギルトゥル	1
'介	カイ	0
( (c ：; ]ミ	ヨコソンシ	0
( ;∀;)イイハナシダナー	イイハナシダナー	1
( ^ν^ )	ニュッ	1
( ^ω^)おっおっおっ	オッオッオッ	1
( ^ω^)朝だお	アサダオ	1
( ˘ω˘)ｽﾔｧ	スヤァ	0
( ゚́д゚`)	サノスケ	1
( ́・ω・`)出荷よー	シュッカヨー	1
( ́鍋`)	ナベシマトシフミ	1
( ͡° ͜ʖ ͡°)	レニースマイル	0
( Θ)	クチバシタロウ	0
( ՞ਊ ՞)☝	ワタシナンバワーン	0
( ∵ )	モコ	0
( ◜◡̅)っ✂╰⋃╯	チョキン	0
( て́・ω・`ふ)1	テフイチ	1
( ゚ω゚ )	オコトワリシマス	1
( ゚Д゚)るぃ	ルイ	0
( ゚∀゚)o彡°	オッパイオッパイ	1
( ゚∀゚)o彡゚	オッパイオッパイ	1
( 三 )	キョニュウ	0
( ；∀；)	イイハナシダナー	1
( ･｀ヮ･´)	フルーツ	0
( ﾟ∀ﾟ)o彡°おっぱい!おっぱい!	オッパイオッパイ	1
( ﾟ∀ﾟ)o彡゜おっぱい！おっぱい！	オッパイオッパイ	0
( ﾟ∀ﾟ)o彡゜哲学！心理学！銀河系！	テツガクシンリガクギンガケイ	0
( ﾟ∀ﾟ)o彡ﾟえーりん！えーりん！	エーリンエーリン	1
( ﾟ∀ﾟ)o彡ﾟチャーハン!チャーハン!	チャーハンチャーハン	0
( ﾟ∀ﾟ)o彡ﾟ入院！入院！はいはい入院！	ニューインニューインハイハイニューイン	0
('A`)ｿﾉｰﾏｰﾏｰﾃﾞｲｲｰ	クラピカソノーマーマーデイーイー	1
('A`)ﾓｦﾄｺ	モヲトコ	0
('μ'n)みゅーん。	ミューン	0
('ω')	ヌカ	0
('ω`)シュウヘイ...	シュウヘイ	1
('・ω・`)	ショボーン	1
((;゚Д゚))フン!?	フンッ	0
()	カッコワライナシ	0
()笑	カッコワラ	0
(*)	キク	0
(*>△<)	ナーンナーン	1
(*>△<)<ナーンナーンっっ	ナーンナーン	0
(*>△<)ナーン!ナーン!	ナーンナーン	1
(*>△<)＜クショがーーーーーー！！！	クショガーーーーーー	0
(*^ω^)近藤フッフゥー	コンドウフッフー	0
(*`・∀・́*)o彡゚	メントス	1
(*m*)	キュウエムゼット	1
(*´ω｀*)	ハヤラナイ	0
(*´ω｀*)のお絵カキコの一覧	ハヤラナイノオエカキコノイチラン	0
(*´ω｀*)のニコニコ静画の一覧	ハヤラナイノニコニコセイガノイチラン	0
(*ˎ ო ˏ*)	ハヤラナイ	1
(*́ω`*.)	ハヤル	1
(*‘ω‘*)ちんぽっぽ	チンポッポ	0
(*・ω・)わおーんP	ワオーンピー	0
(*｀・∀・´*)	コチーヤ	1
(*ﾟ∀ﾟ)o彡ﾟﾐﾐﾐﾝ！ﾐﾐﾐﾝ！ｳｰｻﾐﾝ!!	メルヘンデビュー	0
(*ﾟ∀ﾟ)アハアハアッハッノヽ〜☆	アハアハアッハッハ	1
(*ﾟ∀ﾟ)ノ萌げー☆	モゲー	1
(*ﾟ∀ﾟ)ｱﾊｱ八アッ八ッノヽ〜☆	アハアハアッハッハ	0
(*ﾟーﾟ)	シィ	1
(+e+)	イオポン	0
(+・○○○)	ニコニコノエネコン	0
(,,#゚Д゚):∴;'・,;`:まんたーんドリンクっ!	マンターンドリンクッ	1
(-ω-)	アスキーアート	0
(-○-)	シンカンセン	0
(-人-)	アリガトウ	0
(/・ω・)/うー!(」・ω・)」あー!	ウーアー	0
(/・ω・)/にゃー!	ニャー	1
(0h0)	ソンナ	1
(0w0)	ウェイ	1
(0∀0)	フォーウ	1
(1)	カッコトジルイチ	1
(13)	カッコジュウサン	0
(17)	カッコジュウナナ	1
(21)	ロリ	0
(21)(21)ハンターズ!	ロリロリハンターズ	0
(9)	キュウ	1
(9)時代最後の神話	キュウジダイサイゴノシンワ	0
(:	スマイル	1
(:.;゜;●;゜;.:)	ミジュマル	0
(:3)三	クラゲ	1
(:D)TL=3	メガウタイテカオモジ	1
(;^ω^)うわ、つまんね速報	ウワツマンネソクホウ	0
(;`・ω・)o━ヽ ｡ ・ ﾟ ・ フ))	チャーハンツクルヨ	1
(;゚;ё;゚;`)	リュウダンクン	0
(;・`д・́)...ゴクリ...(`・д́・;)	スメアゴル	0
(<::v::>)	アフォ	1
(<:v:>)	クサム	1
(=́・ω・`= )	ミシシッ	1
(=ω=.)	コナタ	0
(=ﾟωﾟ)ﾉぃょぅ	イヨウ	0
(>ω<)わふー！	ワフー	0
(>ヮ<≡>ヮ<)コシコシコシ	コシコシコシ	1
(>ワ<≡>ワ<)コシコシコシ	エロスノキコウシバクハツシロ	1
(A)テニス	カッコエーテニス	0
(C)ERO	シェロ	0
(N)ine	ナイン	0
(Re)	アールイー	1
(Re)Nアニメ運営生放送	アールイーエヌアニメウンエイナマホウソウ	1
(Re:仮)	リカリ	1
(V)ζ*'ヮ')ζ(V)	ヤヨカニ	0
(V)・∀・(V)	カニパン	0
(YEAH!)	イエー	0
([∂]ω[∂])おっおー	オッオー	0
([∩∩])<死にたいらしいな	ソレハアルタイルノセリフ	0
([∩∩])<殺してやるよ	コロシテヤルヨ	1
([∩∩])<遊びは終わりだ	アソビハオワリダ	1
(^^)	フーン	0
(^o^)<うわぁーっ!	クソッコレデオレモオワリカ	0
(^o^)|⌒|＿	オオトリチョウタロウ	0
(^o^)笑顔同封(^o^)	エガオドウフウ	1
(^o^三^o^)	ルシフェル	0
(^p^)	チショウ	1
(^q^)	チショウ	1
(^q^)くおえうえーーーるえうおおおｗｗｗ	クオエウエールエウオオオ	1
(^u^)	ニーサン	1
(^ω^)おっおっおっ	オッオッオッ	0
(^ω^)ミューラー	ニコラスミューラー	0
(^ω^三^ω^)おっおー	オッオー	1
(^ิρ^ิ)	ヤマダ	0
(^皿^)(40歳)	スマイルヨンジッサイ	0
(`-< -́)<お前ら人間じゃねぇ!	オマエラニンゲンジャネェ	1
(`Д́)ワージッ!	ワージッ	1
(`≡△≡’)ﾀﾍﾞﾁｬｯﾀﾝﾃﾞｽﾖﾈ?	タベチャッタンデスヨネ	0
(`・ω⊂)	ヒイロノカオ	1
(`・ω・́)山もりのくに	ヤマモリノクニ	0
(`・д●)	シャル	0
(`･ω(`･ω･´)ε・。)	キュアサンニンシュウ	1
(c)	コピーライト	1
(e'ω'a)	エグサヒロタカ	0
(eR)	イーアール	1
(fly higher than) the stars	フライハイアーザンザスターズ	0
(i'm gonna eat you up!)	ワタシハアナタヲタベテヤル	0
(i)	スジ	0
(j°δ∧δ)	ローマ	1
(k)	ケイ	0
(k)さん	ケイサン	0
(ksk)	ケースケ	1
(nao)	ナオ	0
(non title)	ノンタイトル	0
(o n)	オンチャン	1
(o'ω'n)	オンチャン	0
(o▽n)	オンチャン	1
(o・∇・o)	アサクラモモ	1
(o・∇・o)あいつばかだぞー	アイツバカダゾー	0
(o・∇・o)こいつばかだぞー	コイツバカダゾー	1
(ry	イカリャク	0
(sao)アインクラッド編	アインクラッド	1
(sao)フェアリィ・ダンス編	フェアリィダンス	1
(sm35895931)	エスエムサンゴハチキュウゴキュウサンイチ	1
(sm36440133)	エスエムサンロクヨンヨンゼロイチサンサン	1
(tot)	ティーオーティー	1
(u^ω^)<にしずみどのー	ニシズミドノー	1
(umek)ルブジビンイ	ルブジビンイ	0
(u憂ω`)	ユウ	1
(v)(-)(∞)(↑)(♥)	ヒミツセンタイゴレンジャー	1
(v)ζ*'ヮ')ζ(v) 2011	ヤヨカニ	1
(v)ζ*'ヮ')ζ(v) 2012	ヤヨカニニセンジュウニ	1
(whew)	フウ	0
(¦3)三	クラゲ	1
(¦3+<	ユウガタスギマデマタネテタ	0
(´;ﾟ;ω;ﾟ;｀)	ナミダメ	0
(´_ゝ｀)ﾇｰﾝ	ヌーン	0
(´_Ｊ｀)	ミズハシカオリ	1
(´Д｀)（すずき）	スズキ	0
(´もω(+”)	モンゲ	1
(´・,_,・`)	クス	1
(´・,_,・`)ｸｽ	クス	0
(´・ω・)カワイソラス	カワイソラス	1
(´・ω・)ｶﾜｲｿｽ	カワイソス	1
(´・ω・`)	ショボーン	0
(´・ω・｀)らん豚	ランブタ	1
(´・ω・｀)ｼｮﾎﾞｰﾝ	ショボーン	1
(´・∀・｀)	イケメン	0
(´・⋌⋚⋛⋋・`)	オデンクン	0
(´；ω；｀).net	オッサンドットネット	0
(´；ω；｀)ｶﾜｲｿｽ	カワイソス	1
(´･ω･｀)知らんがな	シランガナ	0
(óv`o)	オボ	0
(́ω`)<ないとうです	ナイトウデス	0
(́Д`)ハァ...ねみぃ	ワコツ	0
(́∀`(⊃*⊂)	ケツダシ	0
(́◉‿◉`)	ケンジサン	0
(́◉◞౪◟◉)ハハハハハァ!	リチャードハモンド	1
(́◦A゜)ふぁ?ふぁ?	チョットナニイッテルカワカラナイデス	0
(́・ε・`)	メンドクサイ	0
(́・ω・)しょぼん	ショボン	0
(́・ω・`)P	ショボピー	0
(́・ω・`)こん	ショボンコン	0
(́・ω・`)やぁ	ヤァ	1
(́・ω・`)ゆゆしきじたいですよ	ユユシキジタイデスヨ	0
(́・ω・`)ショボーン速報	ショボーンソクホウ	0
(́・ω・`)マラニョーン	マラニョーン	0
(́・ω・`)ヤフミちゃんねる	ヤフミチャンネル	0
(́・ω・`三́・ω・`)	ヒュンヒュン	0
(́・∀・`;;;;)	ヘー	0
(́・・ω`)わんわんお	ワンワンオ	0
(́鍋`)	ナベシマトシフミ	1
(̄3̄)の人	ソシテハシラナイ	0
(̆ω̆)スヤァ	スヤァ	1
(̆ω̆)スヤァ...	スヤァ	1
(Θ)	クチバシタロウ	1
(σ・∀・)σさっすがぁ〜	サッスガー	0
(σ回ω・)σ	リッカチャン	1
(σ回ω・)σ←↖↑↗→↘↓↙←↖↑↗	フッキリッカ	0
(ω)	ムフンマーク	0
(бεб)P	ヨメナイピー	0
(՞ਊ՞)☝	ワタシナンバワーン	1
(‘∀‘)ホワァ!!	ホワァ	1
(’・ω・‘)	ショボン	0
(∩ﾟ□ﾟ)ｳｫｰｳｫｰｳｫｰｳｫｰ	ウォーウォーウォーウォー	1
(∪^ω^)	ワンワンオ	0
(∪^ω^)わんわんお	ワンワンオ	1
(∪^ω^)わんわんお!2ちゃんねるまとめ	ワンワンオニチャンネルマトメ	0
(∪^ω^)オガタくぅーん	オガタクゥーン	0
(∪́ω`)	イヌ	1
(∴)	ハジュン	0
(∵)	カオモジ	0
(∵)キョトンP	キョトンピー	0
(≧Д≦)	ンアッー	0
(⌒, ゝ⌒)人(・x・)人(^ー^)	ウタウタイタチ	0
(⌒,_ゝ⌒)	モコウ	0
(④⑥う+ゆう③)×②ンデレ×(か①ば+⑨りた)+京極③=	クワノミ	0
(╬0◞⊖◟0)	タケヒコ	1
(╬☉д⊙)	ロリ	0
(╬ﾟдﾟ)フーーーーーーーーーーン!!!!	フーーーーーーーーーーン	0
(■*■)	オクチアナル	1
(▽ ▽)	ス	0
(◇)人(∵)	ハクメンアラクネ	0
(○^^()	モゲテシマエ	0
(○╹ω╹○)	シロホッペ	0
(◎)	カッコニジュウマルカッコトジル	1
(●w●)	ウォゥー	1
(●´―`●)	マキノダン	0
(●╹ω╹●)	クロホッペ	0
(●▲●)	ネガケロ	0
(●▽●)	タニ	0
(●・ω・●)	カオ	0
(●ﾟ◇ﾟ●)	ツバクロウ	1
(◕‿‿◕)	キュゥベエ	0
(◕‿‿◕)僕を右クリックして、コピーしてよ	キュービーボクヲミギクリックシテコピーシテヨ	0
(◕‿‿ゝ⌒)	モコベェ	0
(◜◡̅)っ✂╰⋃╯	チョキン	1
(☄ฺ◣д◢)☄ฺ	サクラン	0
(★́∀`)るぃ	ルイ	0
(☆)	セイヤノセンシアンアンマン	1
(☆...●)	アドバンテージヒトツトヨンレンパイ	1
(☝ ՞ਊ ՞)☝​	キョウソ	1
(♀-゚)(<〇>)(゚-゚-゚)	イキグサレ	1
(　´_ゝ｀) ﾌｰﾝ	フーン	1
(　・ ‸・)	ナンダソノカオハ	1
(　ﾟ∀ﾟ)o彡゜ぬーい！ぬーい！	ヌーイヌーイ	0
(。◔‸◔。✿)	ユメチャン	0
(。・x・)	ウサ	0
(〇́^`〇)	ションボリルドルフ	1
(「・Д・)「ほげぇ	ホゲェ	0
(」`･ω･´)」しゅー！(／`･ω･´)／ぞー！	シューゾー	0
(」・ω・)」うー!	ウー	1
(」・ω・)」うー！(／・ω・)／にゃー！	ウーニャー	0
(」・ω・)」とぅー!(/・ω・)/へあー!	コンナコトヲシテモナニモモドリハシナイ	1
(」・ワ・)」(⊃・ワ・)⊃	スイタイダンス	1
(いらない)	イラナイ	0
(う)	ウ	0
(お๑・△・๑粥)	オカユ	0
(おんぷ)れいむ	オンプレイム	0
(お・ω・米)	オコメ	0
(お尻が)ワレモノP	オシリガワレモノピー	0
(きこえますか...あなたの心に直接呼びかけています)	キコエマスカアナタノココロニチョクセツヨビカケテイマス	1
(きこえますか...あなたの脳に直接呼びかけています)	キコエマスカアナタノノウニチョクセツヨビカケテイマス	0
(く)	ク	1
(さ￣(ｴ)￣し)	サシ	0
(しかし野太い声)	シカシノブトイコエ	0
(し・ω・)	シアモジ	0
(そωそ)	ソソ	1
(っ́н`c)	マィ	1
(とんこつわかめ)ラーメン	トンコツワカメラーメン	0
(なんJに)切り替えていく	ナンジェイニキリカエテイク	0
(へ`・∀・́へ)スマイル!	マックアカサカ	1
(ほぼ)同じ言葉の繰り返しで構成されている記事の一覧	ホボオナジコトバノクリカエシデコウセイサレテイルキジノイチラン	0
(ゆウゆ)P	ユウユピー	0
(りネか)	リネカ	1
(゚Д゚)ハ!	ハ	0
(゚∀。)┛	イエエエエエエエ	1
(゚∀゚)o彡 ゚えーりん!えーりん!	エーリンエーリン	1
(゚∀゚)o彡°ぬーい!ぬーい!	ヌーイヌーイ	1
(゚俺゚)	オレ	0
(゜∀。)クｫｫｫｫｫｫｫｫｫｫｫｫエ↑	クォォォォォォォォォォォォエ	0
(ウマ娘)	ウマムスメカンレンヨウゴノウシロニツケテホシイチュウキ	0
(ウヴァの怯える声)	ウゥゥゥゥゥッ	0
(エロい声)	エロイコエ	1
(オカマ・痔・インポ)	オカマジインポ	1
(オシッコをする音)	ノオォォォ	0
(カッ カッ	カッカッ	1
(カテゴリ)r18でfa?	アールジュウハチデファ	0
(キリッ)	キリッ	1
(サインが適当な)まりあ	サインガテキトウナマリア	0
(サビ抜き)	サビヌキ	1
(サビ抜き)P	サビヌキピー	0
(チ)ェロい	チェロイ	0
(ノ)'瓜`(ヾ)	ウメスー	0
(ノ)・ω・(ヾ)	ムニムニ	0
(ノ∀`)タハー	タハー	0
(ノ゚Д゚)ノ∑ワッ!(ノ゚Д゚)ノ∑ワァゥ!	ワッワァゥ	0
(ノシ*゚д゚)ノシ<ちょっと、聞いてるの!?	マキセプリンダンス	1
(ファミチキください)	ファミチキクダサイ	1
(フル)www	フルモデルチェンジ	0
(メ。・‿‿・。シァ)ちゃんねる	ウンコチャンネル	0
(リキッ	リキッ	0
(・3・)	アルェ	0
(・3・)トブー	トブー	0
(・8・)	トリ	0
(・8・)'s	チュンズ	0
(・_・)	コロセンセーノマガオ	1
(・_・)エッ..?	エッ	0
(・`ω・́)	カオモジ	0
(・´ｪ`・)	アルパカ	0
(・×・)	フメイ	0
(・ε・)	アルェ	0
(・ω⊂)	ヒイロノカオ	0
(・ω・`з)3	ササッ	0
(・∀・)mmo!	エムエムオー	1
(・∀・)つ⌒∞┃	ハルチハヲクラエー	1
(・∀・)スンスンスーン♪	スンスンスーン	1
(・◇・)	カオモジ	0
(・◇・)☆彡	セブンスター	0
(・○・)	シンカンセン	1
(・ワ・)	ヨウセイサン	1
(・大・)	ナマコブシ	1
(・谷・)P	コート	1
(ー人ー)ありがたや～	アリガタヤ	0
(ヽ^ゝ^)	フジタゴロー	0
(ヽ́ん`)	ケンモウクン	1
(亡き者にする+灸を据える)÷2=	カッコナニキモノニスルプラスキュウヲスエルワルニ	0
(人としての)終了条件達成	ヒトトシテノシュウリョウジョウケンタッセイ	0
(仮)	カッコカリ	0
(仮)P	カッコカリピー	0
(値段が)外道ビート	ネダンガゲドウビート	0
(偽)メカクシ団	ニセメカクシダン	0
(公)	オオヤケキジ	0
(千早に)迷惑P	チハヤニメイワクピー	0
(合唱に)使ってみろ	ツカッテミロ	0
(名曲)snavE	スネイヴ	0
(唯▽唯)	ユイ	0
(圭)	アイザックショキスーツ	1
(声の微妙な)母上	コエノビミョウナハハウエ	0
(夏)候補	サマーコウホ	0
(夏)時代の勇者	ナツジダイノユウシャ	1
(孤高)	ハンマーノヒトカッコココウ	1
(宇宙人)	カッコウチュウジン	1
(察し)	オサッシクダサイ	1
(小並感)	コナミカン	1
(屮゚Д゚)屮タコーン	タコーン	0
(屮゜Д゜)屮カモーン	カモーン	0
(弟`・ω・́)ノ【葵】	アオイ	1
(得体の知れない)恋人	エタイノシレナイコイビト	0
(微)	カッコビ	0
